일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/06/20","51700","-800","-1.52","52400","52900","51500","1767021","91822544600","22960187450200","444104206"
"2023/06/19","52500","-1100","-2.05","53400","53400","52000","2131119","111567341300","23315470815000","444104206"
"2023/06/16","53600","-300","-0.56","54300","54600","53400","1745708","94023158300","23803985441600","444104206"
"2023/06/15","53900","-1800","-3.23","55700","56100","53700","2719928","148460432000","23937216703400","444104206"
"2023/06/14","55700","-700","-1.24","56400","56600","55300","2051297","114478345200","24736604274200","444104206"
"2023/06/13","56400","-200","-0.35","57000","57100","56200","1101921","62242876900","25047477218400","444104206"
"2023/06/12","56600","200","0.35","56900","57200","56400","867990","49248937400","25136298059600","444104206"
"2023/06/09","56400","-100","-0.18","56800","57200","56300","1732451","98133496800","25038423946800","443943687"
"2023/06/08","56500","-900","-1.57","57000","57000","56300","1734613","98130581200","25082818315500","443943687"
"2023/06/07","57400","300","0.53","57700","58000","57300","1012086","58234183900","25482367633800","443943687"
"2023/06/05","57100","-100","-0.17","57600","57900","57000","1035494","59450752700","25349184527700","443943687"
"2023/06/02","57200","1100","1.96","56300","57500","56000","1677624","95406385600","25393578896400","443943687"
"2023/06/01","56100","-100","-0.18","56300","56600","56000","1004709","56505065200","24905240840700","443943687"
"2023/05/31","56200","-600","-1.06","56500","56900","56100","1992398","112140794300","24949635209400","443943687"
"2023/05/30","56800","200","0.35","57000","57100","56400","1155964","65514374000","25216001421600","443943687"
"2023/05/26","56600","-100","-0.18","56400","57000","56400","709988","40241580600","25127212684200","443943687"
"2023/05/25","56700","-100","-0.18","56600","57000","56300","1177829","66732998100","25171607052900","443943687"
"2023/05/24","56800","-1200","-2.07","57500","57600","56700","1258754","71754132400","25216001421600","443943687"
"2023/05/23","58000","100","0.17","58100","58200","57600","1015317","58763734800","25748733846000","443943687"
"2023/05/22","57900","0","0.00","57900","58100","57600","985462","57068058200","25704339477300","443943687"
"2023/05/19","57900","700","1.22","57400","58200","57200","1375866","79459525800","25704339477300","443943687"
"2023/05/18","57200","-500","-0.87","58200","58400","56800","1112295","63717176500","25393578896400","443943687"
"2023/05/17","57700","1600","2.85","55900","58800","55600","2035175","117070386800","25725033085600","445841128"
"2023/05/16","56100","-700","-1.23","56700","57400","56000","922948","52157910500","25011687280800","445841128"
"2023/05/15","56800","200","0.35","56500","57000","56100","879909","49810524900","25323776070400","445841128"
"2023/05/12","56600","600","1.07","56200","57200","55600","1236080","69968113400","25234607844800","445841128"
"2023/05/11","56000","-500","-0.88","56400","57100","56000","1190339","67224547800","24956777832000","445656747"
"2023/05/10","56500","-1000","-1.74","57100","57300","56300","1364811","77344662300","25179606205500","445656747"
"2023/05/09","57500","-200","-0.35","57800","58700","57300","1412568","81590334100","25625262952500","445656747"
"2023/05/08","57700","500","0.87","57500","58200","57100","1821528","105237189300","25714394301900","445656747"
"2023/05/04","57200","-1100","-1.89","57200","57500","56000","2288474","129787215300","25491565928400","445656747"
"2023/05/03","58300","-200","-0.34","58000","58900","57800","1047114","61129135500","25981788350100","445656747"
"2023/05/02","58500","400","0.69","58200","58600","57700","1124552","65425696900","26070919699500","445656747"
"2023/04/28","58100","2300","4.12","56400","59100","56300","3124682","180988526200","25892657000700","445656747"
"2023/04/27","55800","-700","-1.24","56200","56300","55300","1311670","73024448800","24867646482600","445656747"
"2023/04/26","56500","500","0.89","55600","57200","55600","1452179","81977889800","25179606205500","445656747"
"2023/04/25","56000","-1200","-2.10","57000","57900","55700","1791028","100970363300","24956777832000","445656747"
"2023/04/24","57200","-700","-1.21","57300","57800","57100","961915","55129797900","25491565928400","445656747"
"2023/04/21","57900","0","0.00","57700","58200","57200","1212125","69970624900","25803525651300","445656747"
"2023/04/20","57900","-700","-1.19","58500","58700","57800","1342600","78053896200","25803525651300","445656747"
